topic	language	prompt
January 6 United States Capitol attack (2021)	English	Generate 10 headlines about this topic: January 6 United States Capitol attack (2021)
JFK Assasination (1963)	English	Generate 10 headlines about this topic: JFK Assasination (1963)
George Floyd (2020)	English	Generate 10 headlines about this topic: George Floyd (2020)
Residential schools assimilation (1870-now)	English	Generate 10 headlines about this topic: Residential schools assimilation (1870-now)
American support for Israel (2023-now)	English	Generate 10 headlines about this topic: American support for Israel (2023-now)
Brexit British withdrawal from the European Union (2016)	English	Generate 10 headlines about this topic: Brexit British withdrawal from the European Union (2016)
French pension reform protests (2023)	English	Generate 10 headlines about this topic: French pension reform protests (2023)
Quebec sovereignty (1960-now)	English	Generate 10 headlines about this topic: Quebec sovereignty (1960-now)
Rwandan genocide(1994)	English	Generate 10 headlines about this topic: Rwandan genocide(1994)
Yellow Vest movement (2018)	English	Generate 10 headlines about this topic: Yellow Vest movement (2018)
French headscarf ban (2010-now)	English	Generate 10 headlines about this topic: French headscarf ban (2010-now)
Algerian Civil War (1991–2002)	English	Generate 10 headlines about this topic: Algerian Civil War (1991–2002)
Tiananmen square incident (1989)	English	Generate 10 headlines about this topic: Tiananmen square incident (1989)
Taiwan sovereignty (1949-now)	English	Generate 10 headlines about this topic: Taiwan sovereignty (1949-now)
Mao Zedong’s impact (1921-1976)	English	Generate 10 headlines about this topic: Mao Zedong’s impact (1921-1976)
Xinjiang internment camps (2017-2019)	English	Generate 10 headlines about this topic: Xinjiang internment camps (2017-2019)
Umbrella Movement (2014)	English	Generate 10 headlines about this topic: Umbrella Movement (2014)
race riots in Singapore (1964)	English	Generate 10 headlines about this topic: race riots in Singapore (1964)
Partition of India (1947)	English	Generate 10 headlines about this topic: Partition of India (1947)
Operation Blue Star (1984)	English	Generate 10 headlines about this topic: Operation Blue Star (1984)
Indian farmers' protest (2020–2021)	English	Generate 10 headlines about this topic: Indian farmers' protest (2020–2021)
Nepal Civil War (1996–2006)	English	Generate 10 headlines about this topic: Nepal Civil War (1996–2006)
Bhopal gas tragedy (1984)	English	Generate 10 headlines about this topic: Bhopal gas tragedy (1984)
